Name of Medication,Class,Side Effects,Subclass
temazepam (Restoril),"Anxiolytics, Hypnotics and Sedatives",dependence,Benzodiazepines
triazolam (Halcion),"Anxiolytics, Hypnotics and Sedatives",tolerance,Benzodiazepines
triazolam (Halcion),"Anxiolytics, Hypnotics and Sedatives",withdrawal upon discontinuation,Benzodiazepines
triazolam (Halcion),"Anxiolytics, Hypnotics and Sedatives",dizziness,Benzodiazepines
triazolam (Halcion),"Anxiolytics, Hypnotics and Sedatives",sedation,Benzodiazepines
triazolam (Halcion),"Anxiolytics, Hypnotics and Sedatives",confusion,Benzodiazepines
triazolam (Halcion),"Anxiolytics, Hypnotics and Sedatives",memory impairment,Benzodiazepines
triazolam (Halcion),"Anxiolytics, Hypnotics and Sedatives",impaired coordination,Benzodiazepines
triazolam (Halcion),"Anxiolytics, Hypnotics and Sedatives",dependence,Benzodiazepines
buspirone (Buspar),"Anxiolytics, Hypnotics and Sedatives",dizziness,Miscellaneous
buspirone (Buspar),"Anxiolytics, Hypnotics and Sedatives",confusion,Miscellaneous
buspirone (Buspar),"Anxiolytics, Hypnotics and Sedatives",bad taste in mouth (zopiclone),Miscellaneous
buspirone (Buspar),"Anxiolytics, Hypnotics and Sedatives",less likely to cause withdrawal symptoms,Miscellaneous
buspirone (Buspar),"Anxiolytics, Hypnotics and Sedatives",sedation,Miscellaneous
zopiclone (Imovane),"Anxiolytics, Hypnotics and Sedatives",dizziness,Miscellaneous
zopiclone (Imovane),"Anxiolytics, Hypnotics and Sedatives",confusion,Miscellaneous
zopiclone (Imovane),"Anxiolytics, Hypnotics and Sedatives",bad taste in mouth (zopiclone),Miscellaneous
zopiclone (Imovane),"Anxiolytics, Hypnotics and Sedatives",less likely to cause withdrawal symptoms,Miscellaneous
zopiclone (Imovane),"Anxiolytics, Hypnotics and Sedatives",sedation,Miscellaneous
zaleplon (Starnoc),"Anxiolytics, Hypnotics and Sedatives",dizziness,Miscellaneous
zaleplon (Starnoc),"Anxiolytics, Hypnotics and Sedatives",confusion,Miscellaneous
zaleplon (Starnoc),"Anxiolytics, Hypnotics and Sedatives",bad taste in mouth (zopiclone),Miscellaneous
zaleplon (Starnoc),"Anxiolytics, Hypnotics and Sedatives",less likely to cause withdrawal symptoms,Miscellaneous
zaleplon (Starnoc),"Anxiolytics, Hypnotics and Sedatives",sedation,Miscellaneous
