Name of Medication,Class,Side Effects,Subclass
desipramine (Norpramin),antidepressant,dry mouth,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
desipramine (Norpramin),antidepressant,sedation,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
desipramine (Norpramin),antidepressant,constipation,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
desipramine (Norpramin),antidepressant,blurred vision,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
desipramine (Norpramin),antidepressant,dizziness,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
desipramine (Norpramin),antidepressant,weight gain,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
desipramine (Norpramin),antidepressant,urinary retention,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
doxepin (Sinequan),antidepressant,dry mouth,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
doxepin (Sinequan),antidepressant,sedation,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
doxepin (Sinequan),antidepressant,constipation,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
doxepin (Sinequan),antidepressant,blurred vision,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
doxepin (Sinequan),antidepressant,dizziness,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
doxepin (Sinequan),antidepressant,weight gain,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
doxepin (Sinequan),antidepressant,urinary retention,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
imipramine (Tofranil),antidepressant,dry mouth,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
imipramine (Tofranil),antidepressant,sedation,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
imipramine (Tofranil),antidepressant,constipation,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
imipramine (Tofranil),antidepressant,blurred vision,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
imipramine (Tofranil),antidepressant,dizziness,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
imipramine (Tofranil),antidepressant,weight gain,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
imipramine (Tofranil),antidepressant,urinary retention,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
nortriptyline (Aventyl),antidepressant,dry mouth,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
nortriptyline (Aventyl),antidepressant,sedation,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
nortriptyline (Aventyl),antidepressant,constipation,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
nortriptyline (Aventyl),antidepressant,blurred vision,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
nortriptyline (Aventyl),antidepressant,dizziness,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
nortriptyline (Aventyl),antidepressant,weight gain,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
nortriptyline (Aventyl),antidepressant,urinary retention,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
trimipramine (Surmontil),antidepressant,dry mouth,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
trimipramine (Surmontil),antidepressant,sedation,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
trimipramine (Surmontil),antidepressant,constipation,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
trimipramine (Surmontil),antidepressant,blurred vision,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
trimipramine (Surmontil),antidepressant,dizziness,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
trimipramine (Surmontil),antidepressant,weight gain,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
trimipramine (Surmontil),antidepressant,urinary retention,Non-selective Cyclic Antidepressants/Tricyclics (TCA)
phenelzine (Nardil),antidepressant,sedation,Monoamine Oxidase Inhibitors (MAOI) 
phenelzine (Nardil),antidepressant,insomnia,Monoamine Oxidase Inhibitors (MAOI) 
phenelzine (Nardil),antidepressant,blurred vision,Monoamine Oxidase Inhibitors (MAOI) 
phenelzine (Nardil),antidepressant,constipation,Monoamine Oxidase Inhibitors (MAOI) 
phenelzine (Nardil),antidepressant,tremor,Monoamine Oxidase Inhibitors (MAOI) 
phenelzine (Nardil),antidepressant,orthostatic hypotension,Monoamine Oxidase Inhibitors (MAOI) 
phenelzine (Nardil),antidepressant,nausea,Monoamine Oxidase Inhibitors (MAOI) 
tranylcypromine (Parnate),antidepressant,sedation,Monoamine Oxidase Inhibitors (MAOI) 
tranylcypromine (Parnate),antidepressant,insomnia,Monoamine Oxidase Inhibitors (MAOI) 
tranylcypromine (Parnate),antidepressant,blurred vision,Monoamine Oxidase Inhibitors (MAOI) 
tranylcypromine (Parnate),antidepressant,constipation,Monoamine Oxidase Inhibitors (MAOI) 
tranylcypromine (Parnate),antidepressant,tremor,Monoamine Oxidase Inhibitors (MAOI) 
tranylcypromine (Parnate),antidepressant,orthostatic hypotension,Monoamine Oxidase Inhibitors (MAOI) 
tranylcypromine (Parnate),antidepressant,nausea,Monoamine Oxidase Inhibitors (MAOI) 
moclobemide (Manerix),antidepressant,insomnia,Reversible Inhibitors of Monoamine Oxidase (RIMA)
moclobemide (Manerix),antidepressant,headaches,Reversible Inhibitors of Monoamine Oxidase (RIMA)
moclobemide (Manerix),antidepressant,dry mouth,Reversible Inhibitors of Monoamine Oxidase (RIMA)
moclobemide (Manerix),antidepressant,blurred vision,Reversible Inhibitors of Monoamine Oxidase (RIMA)
"venlafaxine (Effexor, Effexor XR)",antidepressant,sedation,Serotonin Norepinephrine Reuptake Inhibitor (SNRI)
"venlafaxine (Effexor, Effexor XR)",antidepressant, insomnia,Serotonin Norepinephrine Reuptake Inhibitor (SNRI)
"venlafaxine (Effexor, Effexor XR)",antidepressant,headache,Serotonin Norepinephrine Reuptake Inhibitor (SNRI)
"venlafaxine (Effexor, Effexor XR)",antidepressant,dry mouth,Serotonin Norepinephrine Reuptake Inhibitor (SNRI)
"venlafaxine (Effexor, Effexor XR)",antidepressant,constipation,Serotonin Norepinephrine Reuptake Inhibitor (SNRI)
"venlafaxine (Effexor, Effexor XR)",antidepressant,sweating,Serotonin Norepinephrine Reuptake Inhibitor (SNRI)
"venlafaxine (Effexor, Effexor XR)",antidepressant,dizziness,Serotonin Norepinephrine Reuptake Inhibitor (SNRI)
"venlafaxine (Effexor, Effexor XR)",antidepressant,nausea,Serotonin Norepinephrine Reuptake Inhibitor (SNRI)
"venlafaxine (Effexor, Effexor XR)",antidepressant,sexual dysfunction,Serotonin Norepinephrine Reuptake Inhibitor (SNRI)
"venlafaxine (Effexor, Effexor XR)",antidepressant,increased blood pressure,Serotonin Norepinephrine Reuptake Inhibitor (SNRI)
"bupropion (Wellbutrin, Zyban)",antidepressant,jitteriness,Norepinephrine Dopamine Reuptake Inhibitor (NDRI)
"bupropion (Wellbutrin, Zyban)",antidepressant,insomnia,Norepinephrine Dopamine Reuptake Inhibitor (NDRI)
"bupropion (Wellbutrin, Zyban)",antidepressant,dry mouth,Norepinephrine Dopamine Reuptake Inhibitor (NDRI)
"bupropion (Wellbutrin, Zyban)",antidepressant,headaches,Norepinephrine Dopamine Reuptake Inhibitor (NDRI)
"bupropion (Wellbutrin, Zyban)",antidepressant,nausea,Norepinephrine Dopamine Reuptake Inhibitor (NDRI)
trazodone (Desyrel),antidepressant,sedation,Serotonin-2 antagonists/ Reuptake Inhibitors (SARI)
trazodone (Desyrel),antidepressant, dry mouth,Serotonin-2 antagonists/ Reuptake Inhibitors (SARI)
trazodone (Desyrel),antidepressant,orthostatic hypotension,Serotonin-2 antagonists/ Reuptake Inhibitors (SARI)
trazodone (Desyrel),antidepressant,constipation,Serotonin-2 antagonists/ Reuptake Inhibitors (SARI)
trazodone (Desyrel),antidepressant,dizziness,Serotonin-2 antagonists/ Reuptake Inhibitors (SARI)
trazodone (Desyrel),antidepressant,blurred vision,Serotonin-2 antagonists/ Reuptake Inhibitors (SARI)
trazodone (Desyrel),antidepressant,nausea,Serotonin-2 antagonists/ Reuptake Inhibitors (SARI)
trazodone (Desyrel),antidepressant, headache,Serotonin-2 antagonists/ Reuptake Inhibitors (SARI)
mirtazapine (Remeron),antidepressant,sedation,Noradrenergic/Specific Serotonergic Antidepressant (NaSSA)
mirtazapine (Remeron),antidepressant,constipation,Noradrenergic/Specific Serotonergic Antidepressant (NaSSA)
mirtazapine (Remeron),antidepressant,weight gain,Noradrenergic/Specific Serotonergic Antidepressant (NaSSA)
mirtazapine (Remeron),antidepressant,increased appetite,Noradrenergic/Specific Serotonergic Antidepressant (NaSSA)
mirtazapine (Remeron),antidepressant,dry mouth,Noradrenergic/Specific Serotonergic Antidepressant (NaSSA)
mirtazapine (Remeron),antidepressant,fatigue,Noradrenergic/Specific Serotonergic Antidepressant (NaSSA)
